seat_no,paper_1_IA,paper_2_IA,paper_3_IA,paper_4_IA,paper_5_IA,paper_6_IA,paper_7_IA,paper_8_IA,paper_9_IA,paper_10_IA,paper_1_TOT,paper_2_TOT,paper_3_TOT,paper_4_TOT,paper_5_TOT,paper_6_TOT,paper_7_TOT,paper_8_TOT,paper_9_TOT,paper_10_TOT,paper_1_EX,paper_2_EX,paper_3_EX,paper_4_EX,paper_5_EX,paper_6_EX,paper_7_EX,paper_8_EX,paper_9_EX,paper_10_EX
5201541,18.0,19.0,22.0,20.0,42.0,19.0,18.0,18.0,20.0,19.0,70.0,76.0,43.0,41.0,64.0,76.0,83.0,71.0,20.0,19.0,52.0,57.0,52.0,57.0,21.0,57.0,65.0,53.0,21.0,22.0
5201542,15.0,18.0,21.0,20.0,44.0,17.0,19.0,16.0,19.0,18.0,68.0,69.0,43.0,42.0,67.0,62.0,73.0,71.0,19.0,18.0,53.0,51.0,53.0,51.0,22.0,45.0,54.0,55.0,22.0,23.0
5201543,20.0,20.0,22.0,21.0,47.0,20.0,20.0,17.0,22.0,23.0,70.0,64.0,45.0,41.0,71.0,54.0,66.0,62.0,22.0,23.0,50.0,44.0,50.0,44.0,23.0,34.0,46.0,45.0,20.0,24.0
5201544,16.0,17.0,17.0,16.0,47.0,17.0,16.0,16.0,19.0,16.0,63.0,62.0,35.0,32.0,70.0,62.0,64.0,68.0,19.0,16.0,47.0,45.0,47.0,45.0,18.0,45.0,48.0,52.0,16.0,23.0
5201545,19.0,18.0,18.0,17.0,39.0,19.0,19.0,15.0,18.0,13.0,69.0,60.0,38.0,33.0,57.0,79.0,82.0,69.0,18.0,13.0,50.0,42.0,50.0,42.0,20.0,60.0,63.0,54.0,16.0,18.0
5201546,17.0,16.0,20.0,20.0,42.0,17.0,13.0,11.0,24.0,21.0,66.0,59.0,40.0,37.0,63.0,56.0,58.0,55.0,24.0,21.0,49.0,43.0,49.0,43.0,20.0,39.0,45.0,44.0,17.0,21.0
5201547,14.0,12.0,19.0,21.0,46.0,12.0,17.0,14.0,21.0,24.0,49.0,44.0,38.0,40.0,70.0,53.0,65.0,69.0,21.0,24.0,35.0,32.0,35.0,32.0,19.0,41.0,48.0,55.0,19.0,24.0
5201548,17.0,14.0,21.0,20.0,42.0,16.0,19.0,16.0,14.0,17.0,65.0,78.0,43.0,41.0,63.0,66.0,82.0,71.0,14.0,17.0,48.0,64.0,48.0,64.0,22.0,50.0,63.0,55.0,21.0,21.0
5201549,14.0,8.0,19.0,13.0,40.0,10.0,10.0,15.0,15.0,16.0,60.0,53.0,38.0,30.0,60.0,61.0,65.0,70.0,15.0,16.0,46.0,45.0,46.0,45.0,19.0,51.0,55.0,55.0,17.0,20.0
5201550,19.0,16.0,21.0,20.0,49.0,19.0,18.0,19.0,22.0,21.0,19.0,65.0,42.0,43.0,73.0,78.0,82.0,19.0,22.0,21.0,,49.0,0.0,49.0,21.0,59.0,64.0,,23.0,24.0
5201551,15.0,15.0,22.0,20.0,45.0,18.0,20.0,15.0,21.0,22.0,59.0,56.0,43.0,42.0,67.0,70.0,63.0,61.0,21.0,22.0,44.0,41.0,44.0,41.0,21.0,52.0,43.0,46.0,22.0,22.0
5201552,11.0,7.0,14.0,10.0,23.0,13.0,17.0,14.0,10.0,10.0,28.0,34.0,29.0,10.0,38.0,39.0,57.0,46.0,10.0,10.0,17.0,27.0,17.0,27.0,15.0,26.0,40.0,32.0,0.0,15.0
5201553,12.0,10.0,21.0,14.0,46.0,13.0,14.0,16.0,12.0,15.0,61.0,42.0,42.0,32.0,70.0,51.0,64.0,38.0,12.0,15.0,49.0,32.0,49.0,32.0,21.0,38.0,50.0,22.0,18.0,24.0
5201554,15.0,10.0,19.0,15.0,38.0,11.0,17.0,17.0,12.0,12.0,61.0,50.0,40.0,31.0,58.0,62.0,55.0,49.0,12.0,12.0,46.0,40.0,46.0,40.0,21.0,51.0,38.0,32.0,16.0,20.0
5201555,19.0,16.0,23.0,17.0,43.0,18.0,19.0,20.0,21.0,18.0,77.0,71.0,45.0,37.0,64.0,73.0,78.0,69.0,21.0,18.0,58.0,55.0,58.0,55.0,22.0,55.0,59.0,49.0,20.0,21.0
5201556,18.0,16.0,22.0,21.0,46.0,19.0,19.0,20.0,21.0,23.0,71.0,54.0,45.0,40.0,69.0,67.0,69.0,59.0,21.0,23.0,53.0,38.0,53.0,38.0,23.0,48.0,50.0,39.0,19.0,23.0
5201557,15.0,14.0,21.0,20.0,43.0,17.0,18.0,16.0,17.0,22.0,60.0,51.0,42.0,39.0,64.0,55.0,68.0,50.0,17.0,22.0,45.0,37.0,45.0,37.0,21.0,38.0,50.0,34.0,19.0,21.0
5201558,19.0,16.0,21.0,21.0,45.0,19.0,19.0,20.0,20.0,24.0,84.0,73.0,41.0,40.0,67.0,79.0,77.0,66.0,20.0,24.0,65.0,57.0,65.0,57.0,20.0,60.0,58.0,46.0,19.0,22.0
5201559,19.0,17.0,21.0,19.0,48.0,18.0,18.0,19.0,21.0,23.0,83.0,63.0,43.0,37.0,71.0,73.0,75.0,64.0,21.0,23.0,64.0,46.0,64.0,46.0,22.0,55.0,57.0,45.0,18.0,23.0
5201560,12.0,14.0,18.0,18.0,42.0,13.0,14.0,15.0,18.0,18.0,44.0,52.0,37.0,35.0,62.0,57.0,60.0,47.0,18.0,18.0,32.0,38.0,32.0,38.0,19.0,44.0,46.0,32.0,17.0,20.0
5201561,19.0,15.0,24.0,23.0,46.0,18.0,19.0,17.0,22.0,24.0,74.0,74.0,45.0,45.0,68.0,72.0,70.0,72.0,22.0,24.0,55.0,59.0,55.0,59.0,21.0,54.0,51.0,55.0,22.0,22.0
5201562,19.0,16.0,22.0,21.0,37.0,17.0,19.0,16.0,20.0,23.0,78.0,69.0,43.0,41.0,56.0,72.0,78.0,73.0,20.0,23.0,59.0,53.0,59.0,53.0,21.0,55.0,59.0,57.0,20.0,19.0
5201563,16.0,16.0,20.0,19.0,42.0,16.0,16.0,17.0,20.0,20.0,61.0,63.0,40.0,39.0,62.0,58.0,72.0,63.0,20.0,20.0,45.0,47.0,45.0,47.0,20.0,42.0,56.0,46.0,20.0,20.0
5201564,15.0,17.0,19.0,21.0,21.0,18.0,18.0,15.0,21.0,21.0,64.0,79.0,37.0,41.0,33.0,64.0,73.0,81.0,21.0,21.0,49.0,62.0,49.0,62.0,18.0,46.0,55.0,66.0,20.0,12.0
5201565,20.0,19.0,24.0,22.0,48.0,19.0,20.0,17.0,23.0,24.0,75.0,71.0,47.0,45.0,72.0,71.0,72.0,83.0,23.0,24.0,55.0,52.0,55.0,52.0,23.0,52.0,52.0,66.0,23.0,24.0
5201566,17.0,16.0,19.0,19.0,35.0,17.0,17.0,16.0,20.0,18.0,64.0,71.0,39.0,41.0,53.0,70.0,71.0,64.0,20.0,18.0,47.0,55.0,47.0,55.0,20.0,53.0,54.0,48.0,22.0,18.0
5201567,16.0,16.0,18.0,20.0,42.0,18.0,20.0,15.0,18.0,19.0,71.0,77.0,37.0,39.0,62.0,74.0,73.0,69.0,18.0,19.0,55.0,61.0,55.0,61.0,19.0,56.0,53.0,54.0,19.0,20.0
5201568,16.0,12.0,21.0,20.0,49.0,15.0,17.0,17.0,19.0,21.0,76.0,63.0,43.0,39.0,72.0,75.0,73.0,71.0,19.0,21.0,60.0,51.0,60.0,51.0,22.0,60.0,56.0,54.0,19.0,23.0
5201569,20.0,17.0,22.0,22.0,47.0,19.0,19.0,18.0,22.0,24.0,79.0,73.0,44.0,42.0,70.0,66.0,86.0,70.0,22.0,24.0,59.0,56.0,59.0,56.0,22.0,47.0,67.0,52.0,20.0,23.0
5201570,19.0,16.0,22.0,21.0,46.0,19.0,20.0,17.0,21.0,21.0,79.0,77.0,44.0,41.0,69.0,66.0,77.0,72.0,21.0,21.0,60.0,61.0,60.0,61.0,22.0,47.0,57.0,55.0,20.0,23.0
5201571,17.0,15.0,16.0,13.0,35.0,15.0,16.0,16.0,14.0,16.0,67.0,70.0,33.0,29.0,53.0,51.0,67.0,61.0,14.0,16.0,50.0,55.0,50.0,55.0,17.0,36.0,51.0,45.0,16.0,18.0
5201572,17.0,13.0,21.0,19.0,35.0,12.0,13.0,15.0,20.0,23.0,50.0,58.0,44.0,36.0,53.0,49.0,46.0,47.0,20.0,23.0,33.0,45.0,33.0,45.0,23.0,37.0,33.0,32.0,17.0,18.0
5201573,16.0,18.0,20.0,21.0,49.0,18.0,20.0,14.0,22.0,23.0,70.0,72.0,40.0,43.0,72.0,65.0,68.0,59.0,22.0,23.0,54.0,54.0,54.0,54.0,20.0,47.0,48.0,45.0,22.0,23.0
5201574,9.0,15.0,14.0,12.0,25.0,13.0,14.0,16.0,16.0,14.0,49.0,58.0,31.0,28.0,42.0,59.0,60.0,82.0,16.0,14.0,40.0,43.0,40.0,43.0,17.0,46.0,46.0,66.0,16.0,17.0
5201575,18.0,19.0,22.0,21.0,35.0,17.0,19.0,16.0,21.0,22.0,77.0,72.0,44.0,43.0,53.0,64.0,71.0,63.0,21.0,22.0,59.0,53.0,59.0,53.0,22.0,47.0,52.0,47.0,22.0,18.0
